ModifierId,Name,Type,Value,Extra,SecondExtra
AGENDA_BLACK_QUEEN,StatementKey,ARGTYPE_IDENTITY,AGENDA_BLACK_QUEEN_WARNING,NULL,NULL
AGENDA_BUSHIDO,StatementKey,ARGTYPE_IDENTITY,AGENDA_BUSHIDO_WARNING,NULL,NULL
AGENDA_LAST_VIKING_KING,StatementKey,ARGTYPE_IDENTITY,AGENDA_LAST_VIKING_KING_WARNING,NULL,NULL
AGENDA_OPTIMUS_PRINCEPS,StatementKey,ARGTYPE_IDENTITY,AGENDA_OPTIMUS_PRINCEPS_WARNING,NULL,NULL
AGENDA_PARANOID,StatementKey,ARGTYPE_IDENTITY,AGENDA_PARANOID_WARNING,NULL,NULL
AGENDA_QUEEN_OF_NILE,StatementKey,ARGTYPE_IDENTITY,AGENDA_QUEEN_OF_NILE_WARNING,NULL,NULL
AGENDA_ADJUST_GOVERNMENT_INTOLERANCE,IntoleranceMultiplier,ARGTYPE_IDENTITY,2,NULL,NULL
AGENDA_ADJUST_GOVERNMENT_INTOLERANCE,SameEraIntoleranceFlatBonus,ARGTYPE_IDENTITY,-6,NULL,NULL
AGENDA_EXPLOITATION,InitialValue,ARGTYPE_IDENTITY,0,NULL,NULL
AGENDA_EXPLOITATION,IncrementValue,ARGTYPE_IDENTITY,0,NULL,NULL
AGENDA_EXPLOITATION,StatementKey,ARGTYPE_IDENTITY,LOC_DIPLO_KUDO_LEADER_ANY_REASON_AGENDA_EXPLOITATION,NULL,NULL
AGENDA_EXPLOITATION,SimpleModifierDescription,ARGTYPE_IDENTITY,LOC_DIPLO_MODIFIER_DESCRIPTION_EXPLOITATION,NULL,NULL
AGENDA_EXPLOITATION,HiddenAgenda,ARGTYPE_IDENTITY,1,NULL,NULL
AGENDA_EXPLOITATION,TileImprovementHighThreshold,ARGTYPE_IDENTITY,75,NULL,NULL
AGENDA_EXPLOITATION,TileImprovementLowThreshold,ARGTYPE_IDENTITY,35,NULL,NULL
AGENDA_EXPLOITATION,PlotFeatureRemovalValue,ARGTYPE_IDENTITY,1,NULL,NULL
AGENDA_EXPLOITATION,NationalParkConstructionValue,ARGTYPE_IDENTITY,10,NULL,NULL
AGENDA_EXPLOITATION,TileImprovementPreferenceValue,ARGTYPE_IDENTITY,9,NULL,NULL
AGENDA_EXPLOITATION,MaxDiploModifierMagnitude,ARGTYPE_IDENTITY,10,NULL,NULL
AGENDA_EXPLOITATION,HighScoreThreshold,ARGTYPE_IDENTITY,15,NULL,NULL
AGENDA_EXPLOITATION,LowScoreThreshold,ARGTYPE_IDENTITY,-15,NULL,NULL
AGENDA_ALLY_OF_ENKIDU_FRIEND,InitialValue,ARGTYPE_IDENTITY,12,NULL,NULL
AGENDA_ALLY_OF_ENKIDU_FRIEND,ReductionTurns,ARGTYPE_IDENTITY,10,NULL,NULL
AGENDA_ALLY_OF_ENKIDU_FRIEND,ReductionValue,ARGTYPE_IDENTITY,1,NULL,NULL
